年次,市町名,出生合計,出生　男,出生　女,死亡合計,死亡　男,死亡　女,転入合計,転入　男,転入　女,転出合計,転出　男,転出　女
平成18年,越前市,760,414,346,815,405,410,2972,1566,1406,3246,1698,1548
平成18年,鯖江市,690,345,345,596,329,267,2184,1125,1059,1982,981,1001
平成18年,越前町,189,99,90,333,164,169,572,254,318,688,308,380
平成18年,南越前町,97,48,49,156,89,67,211,92,119,303,141,162
平成18年,池田町,18,8,10,61,28,33,47,29,18,78,42,36
平成19年,越前市,750,355,395,787,394,393,2801,1476,1325,3014,1569,1445
平成19年,鯖江市,668,344,324,558,295,263,2080,1054,1026,1945,1035,910
平成19年,越前町,190,90,100,272,128,144,508,225,283,677,305,372
平成19年,南越前町,83,50,33,175,88,87,220,95,125,342,172,170
平成19年,池田町,16,11,5,41,26,15,59,32,27,93,42,51
平成20年,越前市,746,389,357,822,412,410,2457,1319,1138,3139,1675,1464
平成20年,鯖江市,680,325,355,572,297,275,2009,981,1028,1995,999,996
平成20年,越前町,180,90,90,275,123,152,544,254,290,637,292,345
平成20年,南越前町,86,43,43,162,77,85,234,113,121,289,135,154
平成20年,池田町,15,6,9,55,31,24,62,28,34,107,51,56
平成21年,越前市,721,370,351,756,391,365,2440,1234,1206,3170,1648,1522
平成21年,鯖江市,681,364,317,561,294,267,1927,980,947,2029,1036,993
平成21年,越前町,186,93,93,250,110,140,545,241,304,628,287,341
平成21年,南越前町,76,42,34,170,80,90,254,106,148,310,140,170
平成21年,池田町,26,11,15,54,37,17,56,25,31,94,45,49
平成22年,越前市,706,372,334,844,451,393,2462,1337,1125,2506,1262,1244
平成22年,鯖江市,641,312,329,611,312,299,1756,840,916,1851,946,905
平成22年,越前町,203,103,100,268,131,137,526,233,293,579,262,317
平成22年,南越前町,79,43,36,154,73,81,240,98,142,293,127,166
平成22年,池田町,13,5,8,57,29,28,41,21,20,93,52,41
平成23年,越前市,694,354,350,833,401,432,2434,1324,1110,2595,1351,1244
平成23年,鯖江市,693,366,327,669,337,332,1892,958,934,1770,879,891
平成23年,越前町,174,94,80,277,148,129,420,187,233,584,256,328
平成23年,南越前町,100,57,43,177,94,83,258,123,135,331,147,184
平成23年,池田町,19,11,8,53,29,24,46,24,22,69,33,36
平成24年,越前市,673,345,328,957,491,466,2547,1341,1206,2928,1609,1319
平成24年,鯖江市,658,312,346,591,308,283,1819,915,904,1738,842,896
平成24年,越前町,159,78,81,287,147,140,383,180,203,564,245,319
平成24年,南越前町,73,43,30,152,70,82,272,120,152,366,156,210
平成24年,池田町,11,6,5,61,29,32,54,28,26,92,45,47
平成25年,越前市,647,329,318,856,448,408,2250,1181,1069,2666,1415,1251
平成25年,鯖江市,624,325,299,647,340,307,1878,963,915,1797,881,916
平成25年,越前町,167,84,83,310,161,149,439,207,232,587,258,329
平成25年,南越前町,76,33,43,180,91,89,223,110,113,323,153,170
平成25年,池田町,8,6,2,58,33,25,43,20,23,87,46,41
平成26年,越前市,664,354,310,910,454,456,2428,1287,1141,2615,1399,1216
平成26年,鯖江市,575,301,274,659,335,324,1880,931,949,1825,881,944
平成26年,越前町,143,73,70,341,170,171,395,182,213,610,290,320
平成26年,南越前町,69,45,24,174,100,74,282,134,148,359,151,208
平成26年,池田町,14,7,7,45,19,26,43,23,20,119,59,60
平成27年,越前市,689,381,308,933,477,456,2847,1527,1320,2614,1403,1211
平成27年,鯖江市,627,325,302,642,303,339,1953,990,963,1834,903,931
平成27年,越前町,167,92,75,318,144,174,394,192,202,573,280,293
平成27年,南越前町,78,38,40,151,86,65,270,131,139,302,148,154
平成27年,池田町,16,10,6,56,28,28,64,39,25,123,66,57
平成28年,越前市,637,345,292,918,462,456,2678,1432,1246,3057,1580,1477
平成28年,鯖江市,582,288,294,593,302,291,2003,1030,973,1842,940,902
平成28年,越前町,125,62,63,296,132,164,406,183,223,491,237,254
平成28年,南越前町,75,45,30,144,77,67,165,83,82,256,122,134
平成28年,池田町,11,4,7,47,23,24,45,26,19,86,41,45
平成29年,越前市,624,321,303,954,483,471,3083,1661,1422,2629,1368,1261
平成29年,鯖江市,534,280,254,681,364,317,1978,1017,961,1771,902,869
平成29年,越前町,115,58,57,320,153,167,370,194,176,576,2733,303
平成29年,南越前町,60,25,35,185,85,100,208,99,109,231,110,121
平成29年,池田町,13,8,5,69,38,31,47,28,19,60,32,28
平成30年,越前市,644,339,305,948,482,466,3309,1783,1526,3055,1602,1453
平成30年,鯖江市,609,278,331,690,341,349,2170,1160,1010,1914,1006,908
平成30年,越前町,141,76,65,322,145,177,395,205,190,545,269,276
平成30年,南越前町,62,27,35,159,75,84,179,88,91,273,132,141
平成30年,池田町,7,4,3,54,29,25,54,33,21,68,37,31
令和元年,越前市,625,302,323,1009,503,506,2819,1527,1292,3484,1873,1611
令和元年,鯖江市,567,288,279,676,338,338,1988,1043,945,2015,1035,980
令和元年,越前町,115,58,57,313,162,151,424,212,212,595,278,317
令和元年,南越前町,57,32,25,161,65,96,180,88,92,241,116,125
令和元年,池田町,10,4,6,60,31,29,54,29,25,70,36,34
令和2年,越前市,618,333,285,960,484,476,3655,2027,1628,2934,1607,1327
令和2年,鯖江市,555,294,261,749,393,356,2088,1132,956,1879,960,919
令和2年,越前町,108,54,54,308,160,148,384,200,184,517,251,266
令和2年,南越前町,64,34,30,173,78,95,174,86,88,284,144,140
令和2年,池田町,16,8,8,54,21,33,55,26,29,80,38,42
令和3年,越前市,573,280,293,964,485,479,3200,1807,1393,3132,1707,1425
令和3年,鯖江市,531,268,263,695,347,348,2295,1231,1064,2046,1107,939
令和3年,越前町,110,58,52,331,156,175,422,225,197,564,295,269
令和3年,南越前町,57,30,27,164,73,91,146,73,73,240,125,115
令和3年,池田町,11,4,7,53,27,26,50,34,16,83,48,35
