https://code4fukui.github.io/rdf/#year,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_cases
平成元年度,大気汚染,7
平成元年度,水質汚濁,19
平成元年度,騒　音,11
平成元年度,振　動,1
平成元年度,悪　臭,9
平成元年度,その他,53
平成2年度,大気汚染,8
平成2年度,水質汚濁,15
平成2年度,騒　音,14
平成2年度,振　動,0
平成2年度,悪　臭,9
平成2年度,その他,39
平成3年度,大気汚染,4
平成3年度,水質汚濁,19
平成3年度,騒　音,4
平成3年度,振　動,1
平成3年度,悪　臭,5
平成3年度,その他,27
平成4年度,大気汚染,9
平成4年度,水質汚濁,18
平成4年度,騒　音,4
平成4年度,振　動,0
平成4年度,悪　臭,4
平成4年度,その他,33
平成5年度,大気汚染,13
平成5年度,水質汚濁,9
平成5年度,騒　音,12
平成5年度,振　動,0
平成5年度,悪　臭,8
平成5年度,その他,54
平成6年度,大気汚染,9
平成6年度,水質汚濁,18
平成6年度,騒　音,12
平成6年度,振　動,0
平成6年度,悪　臭,5
平成6年度,その他,44
平成7年度,大気汚染,8
平成7年度,水質汚濁,11
平成7年度,騒　音,7
平成7年度,振　動,1
平成7年度,悪　臭,5
平成7年度,その他,56
平成8年度,大気汚染,15
平成8年度,水質汚濁,12
平成8年度,騒　音,8
平成8年度,振　動,2
平成8年度,悪　臭,5
平成8年度,その他,45
平成9年度,大気汚染,23
平成9年度,水質汚濁,17
平成9年度,騒　音,3
平成9年度,振　動,0
平成9年度,悪　臭,9
平成9年度,その他,46
平成10年度,大気汚染,37
平成10年度,水質汚濁,16
平成10年度,騒　音,6
平成10年度,振　動,0
平成10年度,悪　臭,6
平成10年度,その他,57
平成11年度,大気汚染,39
平成11年度,水質汚濁,24
平成11年度,騒　音,9
平成11年度,振　動,0
平成11年度,悪　臭,6
平成11年度,その他,44
平成12年度,大気汚染,34
平成12年度,水質汚濁,18
平成12年度,騒　音,6
平成12年度,振　動,0
平成12年度,悪　臭,8
平成12年度,その他,60
平成13年度,大気汚染,51
平成13年度,水質汚濁,15
平成13年度,騒　音,1
平成13年度,振　動,1
平成13年度,悪　臭,7
平成13年度,その他,59
平成14年度,大気汚染,34
平成14年度,水質汚濁,25
平成14年度,騒　音,4
平成14年度,振　動,0
平成14年度,悪　臭,3
平成14年度,その他,43
平成15年度,大気汚染,37
平成15年度,水質汚濁,12
平成15年度,騒　音,4
平成15年度,振　動,0
平成15年度,悪　臭,3
平成15年度,その他,71
平成16年度,大気汚染,35
平成16年度,水質汚濁,15
平成16年度,騒　音,9
平成16年度,振　動,0
平成16年度,悪　臭,5
平成16年度,その他,68
平成17年度,大気汚染,17
平成17年度,水質汚濁,18
平成17年度,騒　音,5
平成17年度,振　動,0
平成17年度,悪　臭,12
平成17年度,その他,47
平成18年度,大気汚染,41
平成18年度,水質汚濁,25
平成18年度,騒　音,10
平成18年度,振　動,1
平成18年度,悪　臭,6
平成18年度,その他,64
平成19年度,大気汚染,33
平成19年度,水質汚濁,23
平成19年度,騒　音,2
平成19年度,振　動,0
平成19年度,悪　臭,5
平成19年度,その他,50
平成20年度,大気汚染,46
平成20年度,水質汚濁,23
平成20年度,騒　音,8
平成20年度,振　動,0
平成20年度,悪　臭,9
平成20年度,その他,68
平成21年度,大気汚染,21
平成21年度,水質汚濁,13
平成21年度,騒　音,7
平成21年度,振　動,0
平成21年度,悪　臭,7
平成21年度,その他,39
平成22年度,大気汚染,25
平成22年度,水質汚濁,13
平成22年度,騒　音,7
平成22年度,振　動,0
平成22年度,悪　臭,20
平成22年度,その他,58
平成23年度,大気汚染,34
平成23年度,水質汚濁,22
平成23年度,騒　音,11
平成23年度,振　動,0
平成23年度,悪　臭,14
平成23年度,その他,38
平成24年度,大気汚染,29
平成24年度,水質汚濁,19
平成24年度,騒　音,14
平成24年度,振　動,0
平成24年度,悪　臭,6
平成24年度,その他,39
平成25年度,大気汚染,26
平成25年度,水質汚濁,21
平成25年度,騒　音,4
平成25年度,振　動,0
平成25年度,悪　臭,4
平成25年度,その他,33
平成26年度,大気汚染,20
平成26年度,水質汚濁,18
平成26年度,騒　音,5
平成26年度,振　動,0
平成26年度,悪　臭,5
平成26年度,その他,30
平成27年度,大気汚染,24
平成27年度,水質汚濁,19
平成27年度,騒　音,5
平成27年度,振　動,0
平成27年度,悪　臭,9
平成27年度,その他,23
平成28年度,大気汚染,18
平成28年度,水質汚濁,20
平成28年度,騒　音,3
平成28年度,振　動,―
平成28年度,悪　臭,6
平成28年度,その他,16