https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#collection_of_books,https://code4fukui.github.io/rdf/#opening_days,https://code4fukui.github.io/rdf/#lent_books_InGeneral,https://code4fukui.github.io/rdf/#lent_books_InChild,https://code4fukui.github.io/rdf/#total_lent_books,https://code4fukui.github.io/rdf/#people_lented_InGeneral,https://code4fukui.github.io/rdf/#people_lented_InChild,https://code4fukui.github.io/rdf/#total_people_lented
平成元年度,137458,283,61473,26013,87486,23730,10152,33882
平成2年度,143855,282,61941,43460,105401,20139,11714,31853
平成3年度,159504,284,65118,49381,114499,21736,12348,34084
平成4年度,154894,278,66796,39126,105922,21904,9750,31654
平成5年度,156756,235,66839,30599,97438,20924,5408,26332
平成6年度,161093,272,83574,32694,116268,26511,5537,32048
平成7年度,166900,267,86652,31258,117910,27182,4668,31850
平成8年度,166201,270,80772,28605,109377,25693,4182,29875
平成9年度,172676,261,89582,29163,118745,28610,4153,32763
平成10年度,181997,276,88078,31734,119812,29645,4885,34530
平成11年度,167076,265,91151,30172,121323,30077,4837,34914
平成12年度,174229,264,86952,27415,114367,28464,4271,32735
平成13年度,187230,261,87156,27859,115015,28617,3850,32467
平成14年度,198907,265,94084,33138,127222,30617,4783,35400
平成15年度,203098,268,96178,34346,130524,31700,5108,36808
平成16年度,211068,279,105966,22235,128201,31076,4761,35837
平成17年度,225867,283,113058,16833,129891,31861,3703,35564
平成18年度,277327,202,180579,100241,280820,59990,12756,72746
平成19年度,298237,294,277804,146445,424249,94063,16588,110651
平成20年度,317887,289,290810,148257,439067,97121,15179,112300
平成21年度,329179,292,294161,135897,430058,97648,13144,110792
平成22年度,339692,302,296201,134040,430241,97276,12660,109936
平成23年度,353322,302,272310,164055,436365,97953,12707,110660
平成24年度,362080,305,274277,139904,414181,95984,12757,108741
平成25年度,370882,293,273847,131541,405388,88650,11782,100432
平成26年度,378122,300,287326,146871,434197,89540,9641,99181
平成27年度,387361,302,286271,152703,438974,90073,9126,99199
平成28年度,396350,299,282994,158364,441358,88430,9117,97547
平成29年度,404375,296,262336,154742,417078,84534,8895,93429