https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#echizen_city_area,https://code4fukui.github.io/rdf/#population
平成25年,東,5495
平成25年,西,7890
平成25年,南,9850
平成25年,神山,3571
平成25年,吉野,7667
平成25年,国高,10583
平成25年,大虫,5990
平成25年,坂口,464
平成25年,王子保,6047
平成25年,北新庄,2881
平成25年,北日野,4711
平成25年,味真野,4838
平成25年,白山,1825
平成25年,粟田部,3753
平成25年,岡本,3442
平成25年,南中山,3428
平成25年,服間,2052
平成25年,合計,84487
平成26年,東,5440
平成26年,西,7607
平成26年,南,9680
平成26年,神山,3516
平成26年,吉野,7660
平成26年,国高,10723
平成26年,大虫,5941
平成26年,坂口,457
平成26年,王子保,5994
平成26年,北新庄,2880
平成26年,北日野,4656
平成26年,味真野,4836
平成26年,白山,1774
平成26年,粟田部,3678
平成26年,岡本,3398
平成26年,南中山,3379
平成26年,服間,1998
平成26年,合計,83617
平成27年,東,5380
平成27年,西,7745
平成27年,南,9774
平成27年,神山,3478
平成27年,吉野,7656
平成27年,国高,10836
平成27年,大虫,6059
平成27年,坂口,441
平成27年,王子保,5930
平成27年,北新庄,2835
平成27年,北日野,4616
平成27年,味真野,4804
平成27年,白山,1739
平成27年,粟田部,3653
平成27年,岡本,3353
平成27年,南中山,3344
平成27年,服間,1971
平成27年,合計,83614
平成28年,東,5331
平成28年,西,7869
平成28年,南,9717
平成28年,神山,3463
平成28年,吉野,7731
平成28年,国高,10939
平成28年,大虫,5995
平成28年,坂口,443
平成28年,王子保,5899
平成28年,北新庄,2825
平成28年,北日野,4573
平成28年,味真野,4730
平成28年,白山,1695
平成28年,粟田部,3600
平成28年,岡本,3295
平成28年,南中山,3310
平成28年,服間,1951
平成28年,合計,83366
平成29年,東,5266
平成29年,西,7872
平成29年,南,9603
平成29年,神山,3430
平成29年,吉野,7860
平成29年,国高,10986
平成29年,大虫,6009
平成29年,坂口,430
平成29年,王子保,5820
平成29年,北新庄,2816
平成29年,北日野,4514
平成29年,味真野,4709
平成29年,白山,1669
平成29年,粟田部,3594
平成29年,岡本,3253
平成29年,南中山,3232
平成29年,服間,1919
平成29年,合計,82982
平成30年,東,5247
平成30年,西,7896
平成30年,南,9741
平成30年,神山,3434
平成30年,吉野,7968
平成30年,国高,11213
平成30年,大虫,6065
平成30年,坂口,421
平成30年,王子保,5763
平成30年,北新庄,2809
平成30年,北日野,4458
平成30年,味真野,4645
平成30年,白山,1651
平成30年,粟田部,3559
平成30年,岡本,3187
平成30年,南中山,3180
平成30年,服間,1885
平成30年,合計,83122
平成31年,東,5194
平成31年,西,7872
平成31年,南,9636
平成31年,神山,3399
平成31年,吉野,8001
平成31年,国高,11332
平成31年,大虫,5994
平成31年,坂口,419
平成31年,王子保,5761
平成31年,北新庄,2776
平成31年,北日野,4452
平成31年,味真野,4635
平成31年,白山,1626
平成31年,粟田部,3547
平成31年,岡本,3146
平成31年,南中山,3110
平成31年,服間,1854
平成31年,合計,82754