https://code4fukui.github.io/rdf/#imperial_era_name,https://code4fukui.github.io/rdf/#year,https://code4fukui.github.io/rdf/#month,https://code4fukui.github.io/rdf/#day,https://code4fukui.github.io/rdf/#echizen_city_county,https://code4fukui.github.io/rdf/#old_name,https://code4fukui.github.io/rdf/#new_name,https://schema.org/category,https://code4fukui.github.io/rdf/#areasquare_km2
明治,22,4,,市制、町村制を施行する,,,,
明治,23,5,7,南条郡,　茶臼山村,神山村,改称,
大正,15,10,1,今立郡,　粟田部村,粟田部町,改称,2.2
昭和,23,4,1,南条郡,　武生町,武生市,合体,3.56
昭和,23,4,1,南条郡,　神山村,武生市,合体,16.09
昭和,25,1,1,丹生郡,　吉野村,武生市,編入,7.77
昭和,25,7,7,今立郡,　国高村,武生市,編入,8.12
昭和,25,12,1,丹生郡,　大虫村,武生市,編入,14.71
昭和,26,3,30,南条郡,　坂口村,武生市,編入,14.49
昭和,29,7,5,今立郡,　北日野村,武生市,編入,13.64
昭和,29,7,5,今立郡,　北新庄村（大字西樫尾を除く）,武生市,編入,6.79
昭和,29,7,5,南条郡,　王子保村,武生市,編入,27.44
昭和,29,7,5,今立郡,　北新庄村（大字西樫尾）,粟田部町,編入,0.76
昭和,30,3,31,今立郡,　粟田部町,粟田部町,合体,
昭和,30,3,31,今立郡,　南中山村,粟田部町,合体,5.9
昭和,30,3,31,今立郡,　服間村,粟田部町,合体,21.06
昭和,30,6,10,今立郡,　北中山村（大字赤坂、新堂）,粟田部町,編入,1.2
昭和,31,9,29,今立郡,　粟田部町,今立町,改称,
昭和,31,9,30,今立郡,　味真野村,武生市,編入,36.47
昭和,31,9,30,今立郡,　岡本村,今立町,編入,13.96
昭和,34,8,1,丹生郡,　白山村,武生市,編入,36.24
平成,17,10,1,丹生郡,　武生市,越前市,合体,185.32
平成,17,10,1,今立郡,　今立町,越前市,合体,45.43