https://schema.org/name,https://schema.org/address,https://schema.org/description,https://schema.org/url,https://schema.org/telephone,https://schema.org/category,https://schema.org/color,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
（医）林病院,越前市府中一丁目3-5,,http://www.hayashi-hospital.or.jp/,0778-22-0336,内、 外、 整、 消 外、 消 内、 脳 神 外、 神内、循、呼、リウマチ、眼、リハビリ、 泌、形成外、放、麻、腎,緑,35.902104,136.169652,東
さとういきいきクリニック,越前市府中一丁目4-20,,http://www.ikiikiclinic.jp/,0778-21-0310,消内、内、外,緑,35.902575,136.168914,東
桑原心療内科クリニック,越前市府中二丁目3-22,,,0778-21-1161,心療内、精、神,緑,35.904951,136.168955,東
マルカ整形外科内科,越前市吾妻町2-8,,,0778-22-1317,内、外、整、リハビリ,緑,35.900668,136.170138,東
（医）井元産婦人科医院,越前市堀川町6-25,,http://www.imoto-sanfujinka.com/,0778-23-3541,内、産婦,緑,35.898338,136.172338,東
ささした助産所,越前市堀川町7-5,,http://www.osannoie.jp/,0778-24-3841,産婦,緑,35.898233,136.172833,東
奥村眼科医院,越前市天王町2-22,,http://www.okumura-ganka.com/,0778-24-2016,眼,緑,35.900657,136.16758,東
（財医）中村病院,越前市天王町4-28,公益社団法人日本小児科医会、公益社団法人日本小児科学会の会員である小児科医,http://www.nakamura-hp.or.jp/,0778-22-0618,児、 内、 循、 泌、 外、 整、放、 脳神外、消、内分泌、神内、婦、眼、 リハビリ、呼、呼外、形、心臓血管外科、耳鼻咽喉科,オレンジ,35.900493,136.166755,東
サンライフクリニック,越前市蓬莱町6-24,,http://sunlifeonodani.jp/clinic/,0778-22-8835,内、整,緑,35.90216,136.167058,東
越前外科内科医院,越前市北府二丁目12-13,,,0778-22-1100,内、 外、 胃、 循、 児、 整、 心 臓 外、 透析、精,オレンジ,35.913856,136.16633,東
（医）斎藤医院,越前市北府三丁目5-1,,,0778-22-0234,内、婦、リハビリ,緑,35.910978,136.164952,東
関医院,越前市京町三丁目1-33,,,0778-22-0103,内、外、胃,緑,35.904201,136.164097,西
（医）堀川医院,越前市本多一丁目6-7,,http://horikawa33.com/,0778-24-3850,耳、鼻、咽、児、アレルギー,オレンジ,35.905351,136.162422,西
（医）月岡医院,越前市本多一丁目10-18,,http://www.tsukioka-med.com/index.php,0778-23-0220,胃、内、消,緑,35.906079,136.163805,西
（医）福田胃腸科外科,越前市高瀬一丁目33-8,,http://clinic-fukuda.net/,0778-22-8855,胃、内、外、児、整、肛,オレンジ,35.893416,136.156945,南
（医）相木病院,越前市中央二丁目9-40,,http://www.myclinic.ne.jp/aiki/pc/,0778-22-1607,内、児、胃、循、呼、肛,オレンジ,35.902793,136.156373,西
（医）野尻医院,越前市平出一丁目12-37,,http://www.nojiri-iin.jp/,0778-22-5108,内、児,オレンジ,35.908975,136.15977,西
（医）武生記念病院,越前市小松二丁目7-25,,,0778-22-2887,精、内、神,緑,35.906176,136.156034,西
ひらい医院,越前市新町8-1-11,,,0778-25-4118,内、消,緑,35.90324,136.15244,西
はやし内科外科,越前市若竹町7-5,,,0778-21-0111,内、外、呼内、消内,緑,35.894261,136.167786,南
なんぶ眼科クリニック,越前市あおば町1-30,,,0778-21-2111,眼,緑,35.897476,136.168172,南
岩堀メディカルオフィス,越前市神明町4-12,,http://iwahori.jp/,0778-22-0385,児、泌、内、消,オレンジ,35.898119,136.168166,南
吉田皮膚科医院,越前市姫川二丁目3-3,,,0778-24-5532,皮,緑,35.896947,136.171541,南
藤井医院,越前市文京一丁目6-28,,,0778-23-3211,内、産婦、消、呼、循、児,オレンジ,35.891117,136.160459,南
橋本整形クリニック,越前市東千福町23-16,,http://hashimoto.kagahaku.jp/,0778-23-2112,整、リウマチ、リハビリ,緑,35.891689,136.157509,南
（医）土川整形外科医院,越前市常久町8-1,,,0778-22-5280,整、リハビリ,緑,35.888397,136.163434,南
（医）平井眼科内科クリニック,越前市芝原四丁目10-28,,,0778-21-3755,眼、内、呼、消、胃、循、児,オレンジ,35.919741,136.161019,吉野
こうの内科耳鼻咽喉科,越前市芝原五丁目11-1,,,0778-21-2113,内、耳、鼻、咽,緑,35.922538,136.160811,吉野
たけふクリニック,越前市村国三丁目1-12,,,0778-29-1212,内、循,緑,35.90939,136.177415,国高
しみずクリニック,越前市国高一丁目3-12,,,0778-21-0101,内、外、整、皮、児,オレンジ,35.90919,136.186345,国高
（医）東武内科外科クリニック,越前市横市町6-3,,http://www.myclinic.ne.jp/toubu/pc/index.html,0778-21-1155,内、外、胃、整、児、肛、皮、循、泌,オレンジ,35.909471,136.192528,国高
耳鼻咽喉科アレルギー科 やまもとクリニック,越前市庄町1-1,,http://yamamoto-ent.net/,0778-23-1187,耳、鼻、咽、アレルギー,緑,35.910204,136.191217,国高
（医）笠原病院,越前市塚町214,,http://www.kasahara-hosp.or.jp/,0778-23-1155,外、内、婦、胃、整、 肛、リハビリ、放,緑,35.91607,136.191844,国高
（医）きむら小児科,越前市瓜生町29-1-12,公益社団法人日本小児科医会、公益社団法人日本小児科学会の会員である小児科医,http://www.myclinic.ne.jp/kimura_ped/pc/index.html,0778-25-0020,児,オレンジ,35.925669,136.181456,国高
西武クリニック,越前市上太田町37-10-1,,,0778-23-7788,内、外、整、消内,緑,35.90324,136.146504,大虫
平井皮ふ科医院,越前市上太田町49-6-6,,,0778-25-4112,皮、形成外,緑,35.90119,136.148399,大虫
坂口診療所,越前市湯谷町24-18-1　(坂口公民館内）,,,0778-28-1046,内、外、胃,緑,35.859896,136.087093,坂口
（医）池端病院,越前市今宿町8-1,,http://ikebata.jp/index.html,0778-23-0150,内、外、胃、整、児、皮、リハビリ,オレンジ,35.865437,136.169917,王子保
（医）はしもと小児科クリニック,越前市帆山町10-5-1,公益社団法人日本小児科医会、公益社団法人日本小児科学会の会員である小児科医,http://hashimoto-shonika.jp/,0778-23-8080,児,オレンジ,35.896133,136.176552,北日野
加藤医院,越前市北町30-4,,,0778-22-2334,内、外、胃、皮,緑,35.909918,136.206145,北新庄
（医）萩原医院,越前市宮谷町36-10,,https://www.hagiwara-clinic-fukui.com/,0778-27-1228,内、外、児、胃,オレンジ,35.891543,136.223074,北日野
野尻医院しらやま診療所（白山商工会内）,越前市菖蒲谷町19-8-6 (越前市商工会白山支所内）,,,0778-29-2822,児、内,オレンジ,35.885858,136.051796,白山
（医）佐々木医院,越前市粟田部町29-33,,http://www.sasakiiin.com/,0778-42-0002,内、消、循、呼、児、放、リハビリ,オレンジ,35.916468,136.240907,粟田部
（一財）今立中央病院,越前市粟田部町33-1,,http://www.myclinic.ne.jp/imachu/pc/,0778-42-1800,内、外、整、児、胃、呼、循、泌、皮、 脳神外、婦、眼、放、リハビリ、耳,オレンジ,35.916988,136.243488,粟田部
（医）つがわ内科クリニック,越前市岩本町2-104,,,0778-42-3811,内、循、リウマチ,緑,35.90805,136.243843,岡本
林医院,越前市野岡町21-3,公益社団法人日本小児科医会、公益社団法人日本小児科学会の会員である小児科医,,0778-42-0641,児、内、皮,オレンジ,35.92477,136.248779,岡本
いんべ歯科医院,越前市府中一丁目4-24,,https://www.imbe-shika.com/,0778-22-5050,歯,水色,35.902817,136.168616,東
坂野歯科医院,越前市府中一丁目12-28,,http://www.sakanosika.net/,0778-22-6323,歯,水色,35.903747,136.169935,東
直江歯科医院,越前市府中一丁目13-40,,,0778-24-0900,歯,水色,35.903579,136.169405,東
天井歯科医院,越前市天王町2-24,,,0778-24-0648,歯,水色,35.900967,136.167718,東
服部歯科医院,越前市幸町3-35,,,0778-22-1251,歯,水色,35.903691,136.167361,東
水野歯科医院,越前市幸町4-5,,,0778-24-1162,歯,水色,35.903495,136.166148,東
西尾歯科医院,越前市北府二丁目12-29,,,0778-21-1121,歯,水色,35.915152,136.166635,東
（医）斉藤医院  ,越前市北府三丁目5-1,,,0778-22-0234,歯,水色,35.911227,136.165231,東
片山歯科医院,越前市桂町5-22,,http://www.katayama-dentalclinic.com/,0778-22-0925,歯,水色,35.905156,136.165389,東
（医）山本歯科医院,越前市元町1-12,,,0778-24-0558,歯,水色,35.901191,136.165862,西
平井歯科医院,越前市京町二丁目4-5,,,0778-22-1184,歯,水色,35.902649,136.161933,西
岩堀歯科クリニック,越前市平和町9-3,,,0778-29-0648,歯,水色,35.898288,136.163717,西
くどう歯科医院,越前市高瀬一丁目7-15,,,0778-23-6480,歯,水色,35.897171,136.157723,西
（医）水谷歯科医院,越前市平出三丁目8-40,,,0778-24-3570,歯,水色,35.914334,136.159269,西
若泉歯科クリニック,越前市文京二丁目12-38,,https://www.wakaizumi-dental.com/,0778-24-3021,歯,水色,35.89363,136.163513,南
こいずみデンタルクリニック,越前市松森町111,,http://www.koizumi-dental.net/,0778-21-3222,歯,水色,35.881183,136.161879,南
わきた歯科医院,越前市千福町127,,,0778-21-0100,歯,水色,35.8921399,136.1531956,南
（医）坂下歯科医院,越前市村国二丁目11-31,,,0778-22-0608,歯,水色,35.906474,136.180133,国高
あさざわ歯科医院,越前市村国三丁目7-7,,http://asazawa-dental.cihp.jp/,0778-23-0821,歯,水色,35.908011,136.181183,国高
宮本歯科クリニック,越前市村国三丁目34-1,,,0778-25-7771,歯,水色,35.912797,136.178907,国高
せいじ矯正歯科クリニック,越前市横市町1-5-7,,http://seiji-kyousei.com/,0778-29-0118,歯,水色,35.917557,136.192777,国高
増永歯科医院,越前市庄町1-4,,,0778-21-5552,歯,水色,35.91063,136.191168,国高
みずたに歯科クリニック,越前市長土呂町7-20-2,,http://www.mizutani-dc.com/,0778-43-6480,歯,水色,35.9171,136.188054,国高
山王歯科,越前市上太田町23-3-10,,https://www.sannou-dental.com/,0778-24-1766,歯,水色,35.907145,136.147921,大虫
けい歯科医院,越前市上太田町49-7-2,,https://www.keishika.jp/,0778-23-4618,歯,水色,35.901287,136.148824,大虫
ひの歯科クリニック,越前市岩内町2-1-2,,http://hinosika.net/,0778-25-6480,歯,水色,35.890942,136.19274,北日野
たけふ生協歯科診療所,越前市芝原五丁目8－1－1　,,http://www.fukui-min-iren.com/takefusika/index.html,0778-22-5666,歯,水色,35.922585,136.159138,吉野
藤井歯科医院,越前市粟田部町27-40,,,0778-42-0357,歯,水色,35.916089,136.237877,粟田部
山田歯科医院,越前市粟田部町33-6-7,,,0778-43-0345,歯,水色,35.917422,136.243185,粟田部
いけだ歯科医院,越前市粟田部町50-41,,,0778-42-3435,歯,水色,35.911976,136.239158,粟田部