https://schema.org/area,https://schema.org/category,https://code4fukui.github.io/rdf/#number_of_households,https://code4fukui.github.io/rdf/#response_rate
福井県,人口等基本集計,279687,
福井県,インターネット回答,116503,41.7
福井県,うちスマートフォン,35885,12.8
福井市,人口等基本集計,99872,
福井市,インターネット回答,42599,42.7
福井市,うちスマートフォン,13043,13.1
敦賀市,人口等基本集計,26545,
敦賀市,インターネット回答,12250,46.1
敦賀市,うちスマートフォン,4078,15.4
小浜市,人口等基本集計,11220,
小浜市,インターネット回答,5070,45.2
小浜市,うちスマートフォン,1622,14.5
大野市,人口等基本集計,10698,
大野市,インターネット回答,2969,27.8
大野市,うちスマートフォン,735,6.9
勝山市,人口等基本集計,7703,
勝山市,インターネット回答,3556,46.2
勝山市,うちスマートフォン,988,12.8
鯖江市,人口等基本集計,22335,
鯖江市,インターネット回答,10404,46.6
鯖江市,うちスマートフォン,3345,15
あわら市,人口等基本集計,9697,
あわら市,インターネット回答,2681,27.6
あわら市,うちスマートフォン,762,7.9
越前市,人口等基本集計,27889,
越前市,インターネット回答,12235,43.9
越前市,うちスマートフォン,3864,13.9
坂井市,人口等基本集計,29454,
坂井市,インターネット回答,13519,45.9
坂井市,うちスマートフォン,4181,14.2
永平寺町,人口等基本集計,7276,
永平寺町,インターネット回答,2415,33.2
永平寺町,うちスマートフォン,896,12.3
池田町,人口等基本集計,902,
池田町,インターネット回答,176,19.5
池田町,うちスマートフォン,39,4.3
南越前町,人口等基本集計,3353,
南越前町,インターネット回答,1377,41.1
南越前町,うちスマートフォン,405,12.1
越前町,人口等基本集計,6560,
越前町,インターネット回答,1514,23.1
越前町,うちスマートフォン,444,6.8
美浜町,人口等基本集計,3899,
美浜町,インターネット回答,1294,33.2
美浜町,うちスマートフォン,306,7.8
高浜町,人口等基本集計,4191,
高浜町,インターネット回答,1024,24.4
高浜町,うちスマートフォン,263,6.3
おおい町,人口等基本集計,3222,
おおい町,インターネット回答,1153,35.8
おおい町,うちスマートフォン,261,8.1
若狭町,人口等基本集計,4871,
若狭町,インターネット回答,2267,46.5
若狭町,うちスマートフォン,653,13.4