https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,https://code4fukui.github.io/rdf/#category1,https://code4fukui.github.io/rdf/#category2,https://code4fukui.github.io/rdf/#category3,https://code4fukui.github.io/rdf/#echizen_city_area,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://schema.org/telephone,https://code4fukui.github.io/rdf/#home_care_support,https://code4fukui.github.io/rdf/#visit_care,https://code4fukui.github.io/rdf/#visit_rehabilitation,https://code4fukui.github.io/rdf/#visit_bathing_care,https://code4fukui.github.io/rdf/#visit_nursing,https://code4fukui.github.io/rdf/#day_service,https://code4fukui.github.io/rdf/#shortAdmissionLife_care,https://code4fukui.github.io/rdf/#shortAdmissionLife_care,https://code4fukui.github.io/rdf/#shortAdmission_medical_care,https://code4fukui.github.io/rdf/#welfare_equipment_rental,https://code4fukui.github.io/rdf/#specific_WelfareEquipment_sale,https://code4fukui.github.io/rdf/#specific_facility,https://code4fukui.github.io/rdf/#dementiaFriendly_CommunalLife_care,https://code4fukui.github.io/rdf/#community_outpatient_care,https://code4fukui.github.io/rdf/#small_MultifunctionalHome_care,https://code4fukui.github.io/rdf/#nursingSmall_MultifunctionalHome_care,https://code4fukui.github.io/rdf/#dementia_outpatient_care,https://code4fukui.github.io/rdf/#patrolAndOccasionalVisit_nursing_care,https://code4fukui.github.io/rdf/#careFacility_elderly_area,https://code4fukui.github.io/rdf/#careFacility_elderly_institution,https://code4fukui.github.io/rdf/#careHealthFacility_elderly,https://code4fukui.github.io/rdf/#nursingCare_medicalFacility,https://schema.org/description
居宅かいごしえん府中,越前市府中1-3-5,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,東,35.902756,136.16984,0778-22-1084,○,○,○,,○,,○,,,,,,,,,,,,,,,,
居宅介護支援センターおいで,越前市堀川町3‐14,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,東,35.900441,136.172521,0778-21-5454,○,,,,,,,,,,,,,○,,,,,,,,,
サンライフ小野谷,越前市蓬莱町6-24,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,東,35.90216,136.167058,0778-21-1068,○,,○,,,,○,,,○,○,○,,,,,,,,,,,
ケアセンターふじ,越前市北府3-5-1,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,東,35.910978,136.164952,0778-22-8821,○,,○,,○,,○,,○,,,,○,,○,,,,,,○,,
いきいき居宅介護支援事業所,越前市高瀬2-4-22,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,南,35.89926,136.160892,0778-22-2500,○,,,,,○,,,,,,,,,○,,,,,,,,
居宅介護支援センターあいの樹,越前市中央2-9-40,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,西,35.902793,136.156373,0778-21-2886,○,○,,,○,,○,,○,,,,○,,,,○,,,,○,,
医療法人野尻医院居宅介護支援センター,越前市平出1-12-37,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,西,35.908975,136.15977,0778-22-5108,○,,,,○,○,,,,,,,,○,,,,,,,○,,
あいぜん居宅介護支援センター,越前市広瀬町131-23,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,神山,35.887278,136.143272,0778-21-1782,○,○,,,,,,,,,,,,,,,,,,,,,
ケアフルハウス居宅介護支援センター,越前市広瀬町153-12-2,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,神山,35.889561,136.146705,0778-22-0030,○,○,,,○,○,,,,,,,,,○,,,,,,,,
県民せいきょう居宅介護支援事業所（丹南）,越前市家久町49,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,吉野,35.931765,136.16661,0778-22-5001,○,○,,,,○,,,,,,,,,○,,○,,,,,,
ニチイケアセンター武生,越前市国高1-16-16,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,国高,35.911087,136.186654,0778-25-5080,○,○,,,,○,,,,,,,,,,,,,,,,,
東武介護支援センター,越前市横市町6-3,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,国高,35.909471,136.192528,0778-21-1155,○,,,,○,,,,,,,,,,,,,,,,,,
さわやか介護支援センター,越前市塚町214,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,国高,35.91607,136.191844,0778-21-5800,○,,,,○,,,,,,,,,,,,,,,,,○,
いちばん介護,越前市瓜生町31-1,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,国高,35.92606,136.177426,0778-22-0055,○,○,,,,○,,○,,○,,,○,,○,,,,,,,,
あいしん居宅介護支援事業所,越前市瓜生町45-11,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,国高,35.923586,136.184242,0778-23-3821,○,,,,,,,,,,,,,,,,,,,,,,
和上苑居宅介護支援事業所,越前市高木町12-7-1,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,国高,35.928207,136.190494,0778-23-1114,○,,,○,,○,,○,,,,,,,○,,,,,○,,,
ほっとマネージメント,越前市高木町111-2,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,国高,35.918675,136.191769,0778-21-5208,○,○,,,○,,,○,,○,○,○,○,,,○,,,,,,,
レッツ居宅介護支援センター,越前市新保町1-5-2,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,大虫,35.909651,136.155055,0778-42-6822,○,,,,○,○,,,,,,,○,,○,,,○,,,,,
アスピカ居宅介護支援センター,越前市新保町20-31,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,大虫,35.908721,136.153422,0778-43-6292,○,○,,,,,,,,,,,,,○,,,,,,,,
しくらケアプランステーション,越前市今宿町8-1,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,王子保,35.865437,136.169917,0778-21-3333,○,,○,,○,,○,,○,,,,,,,,,,,,,,
居宅介護支援いっぷく,越前市黒川町114-61-1,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,白山,35.881681,136.0693,0778-28-1101,○,○,,,,,,,,,,○,,,,,,,,,,,
はながたみ介護支援センター,越前市粟田部町33-1,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,粟田部,35.916988,136.243488,0778-42-1800,○,,○,,○,,○,,○,,,,,,,,,,,,,○,
メゾンいまだて指定居宅介護支援センター,越前市東樫尾町8-38,長寿福祉課,福祉,介護福祉施設,居宅介護支援事業,服間,35.938216,136.282945,0778-43-1800,○,,,,,○,,○,,,,,○,,○,,○,,○,○,,,