https://schema.org/name,https://schema.org/address,https://schema.org/Place,https://schema.org/option,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area
福井鉄道　越前武生駅,越前市府中三丁目１－１,屋外,車椅子,35.906171,136.17023,東
福井鉄道　家久駅,越前市家久町８８－１－５,1階,"車椅子,オストメイト,オムツ交換台,ベビーチェア",35.924388,136.170152,吉野
福井鉄道　スポーツ公園駅,越前市家久町９９－１０－３,ホーム内,"車椅子,オムツ交換台,ベビーチェア",35.91943,136.168182,吉野
福井鉄道　北府駅,越前市北府二丁目５－２０,1階,"車椅子,オストメイト,オムツ交換台,ベビーチェア",35.910486,136.165566,東
越前市役所本庁舎,越前市越前市府中一丁目13-7,1階,"車椅子,オストメイト,オムツ交換台",35.90351,136.168778,東
越前市役所第二庁舎,越前市越前市幸町8-27,1階,車椅子,35.904112,136.168158,東
村国公園,越前市村国三丁目２２－１,駐車場入り口,"車椅子,オムツ交換台",35.909065,136.177137,国高
中央公園,越前市高瀬二丁目,図書館前トイレ,"車椅子,オムツ交換台",35.899549,136.1601,西
中央公園,越前市高瀬二丁目,正面入り口トイレ,"車椅子,オムツ交換台",35.899549,136.1601,西
中央公園,越前市高瀬二丁目,少年野球場トイレ,車椅子,35.899549,136.1601,西
白崎公園,越前市白崎町３５字他,北側駐車場近く（女子トイレ）,"車椅子,オムツ交換台",35.864568,136.141259,王子保
紫式部公園,越前市東千福町３６９,公園入り口近く,車椅子,35.891161,136.159398,南
佐山姫公園,越前市粟田部町１０４－５,佐山姫駐車場前,車椅子,35.920873,136.244121,粟田部
佐山姫公園,越前市粟田部町１０４－５,花筐会館の前,車椅子,35.920873,136.244121,粟田部
枚井手公園,越前市平出三丁目２９０１,公園入り口近く,車椅子,35.909695,136.159342,西
芦山公園,越前市村国町,堤防側登り口広場,"車椅子,オムツ交換台",35.900008,136.178529,国高
芦山公園,越前市村国町,夫婦池側神社横,"車椅子,オムツ交換台",35.900008,136.178529,国高
家久スポーツ公園,越前市家久町１０５字１,多目的グランド横,車椅子,35.919577,136.171654,吉野
家久スポーツ公園,越前市家久町１０５字１,ソフトボール球場,"車椅子,オムツ交換台",35.919577,136.171654,吉野
東運動公園,越前市宮谷町,南側駐車場,車椅子,35.890441,136.220652,北日野
パピルス館,越前市新在家町8-44,1階,"車椅子,オストメイト,オムツ交換台",35.911386,136.243332,岡本
小次郎公園,越前市北坂下町7-1-1,公園東側,車椅子,35.922232,136.270269,服間
武生中央公園,越前市高瀬2丁目7-24,正面入口東側,車椅子,35.899074,136.159053,西
万葉菊花園,越前市余川町22-96-1,１階,"車椅子,オストメイト",35.886836,136.237653,味真野
万葉菊花園　フラワー公園内,越前市余川町22-96-1,１階,車椅子,35.886836,136.237653,味真野
越前の里味真野苑駐車場,越前市余川町55-1,１階,"車椅子,オムツ交換台,ベビーチェア",35.885019,136.236936,味真野
越前の里万葉館,越前市余川町55-1,１階,"車椅子,オムツ交換台,ベビーチェア",35.885019,136.236936,味真野
エコビレッジ交流センター,越前市湯谷町25-25-2,1階,"車椅子,オムツ交換台,ベビーチェア",35.860102,136.086957,坂口
八ツ杉森林学習センター,越前市別印町19-1-1,1階,車椅子,35.888211,136.308313,岡本
もやいの郷・農楽園,越前市横住町17-29,1階,車椅子,35.938754,136.299763,服間
しらやまいこい館,越前市都辺町36-84,1階,車椅子,35.887814,136.056073,白山
南越消防組合消防本部・中消防署・越前市防災施設合同庁舎,越前市越前市千福町１２６番地,１階,"車椅子,オムツ交換台",35.892698,136.155108,南
南越消防組合消防本部・中消防署・越前市防災施設合同庁舎,越前市越前市千福町１２６番地,４階,"車椅子,オストメイト,オムツ交換台",35.892698,136.155108,南
福祉健康センター,越前市府中一丁目11-2,4階女子トイレ,"車椅子,オムツ交換台",35.904543,136.17041,東
福祉健康センター,越前市府中一丁目11-2,4階障がい者専用トイレ,"車椅子,オストメイト",35.904543,136.17041,東
福祉健康センター,越前市府中一丁目11-2,4階障がい者専用トイレ,"車椅子,オムツ交換台",35.904543,136.17041,東
吉野児童館,越前市本保町19-9-1,1階,車椅子,35.925584,136.158572,吉野
大虫児童館,越前市丹生郷町13-20-4,1階,車椅子,35.908122,136.141508,大虫
王子保児童センター,越前市四郎丸町55-4-1,1階,車椅子,35.866203,136.166312,王子保
北日野児童センター,越前市小野谷町1-13,1階,車椅子,35.890106,136.190612,北日野
味真野児童センター,越前市池泉町14-1,1階,車椅子,35.890602,136.234228,味真野
今立南部児童館,越前市岩本町1-9,1階,車椅子,35.909913,136.240563,岡本
社会福祉センタｰ,越前市杉尾町1-27-1,1階東棟,"車椅子,オストメイト,オムツ交換台",35.920093,136.252817,岡本
社会福祉センタｰ,越前市杉尾町1-27-1,2階中央棟,車椅子,35.920093,136.252817,岡本
しきぶ温泉湯楽里,越前市白崎町６８字８番,２階浴室棟展望ロビー,"車椅子,オムツ交換台,ベビーチェア",35.863406,136.14457,王子保
コミュニティーセンター柳荘,越前市家久町105-10-1,1階,車椅子,35.919577,136.171654,吉野
中央図書館,越前市高瀬二丁目７－２４,１階  エントランス,"車椅子,オストメイト,オムツ交換台",35.899074,136.159053,西
中央図書館,越前市高瀬二丁目７－２４,１階  一般書架,"車椅子,オムツ交換台",35.899074,136.159053,西
今立図書館,越前市定友町２１－３－１,１階  一般書架,"車椅子,オストメイト",35.91921,136.247196,岡本
北日野ミニ体育館,越前市矢放町21-11,1階,車椅子,35.889676,136.188634,北日野
岡本公民館,越前市定友町10-2-2,1階,車椅子,35.913871,136.24484,岡本
南中山公民館,越前市西庄境町21-7-1,１階,車椅子,35.92922,136.248162,南中山
かこさとしふるさと絵本館「砳」,越前市高瀬1丁目14-7,１階,"車椅子,オムツ交換台",35.895882,136.156965,西
市民ホール,越前市府中1丁目13-15,２階,"車椅子,オストメイト,オムツ交換台",35.904074,136.16848,東
越前市武生中央公園体育館,越前市高瀬2-8-23,1階,車椅子,35.899213,136.15569,西
今立ふれあいプラザ,越前市粟田部町9-1-9,1階,車椅子,35.919354,136.246454,粟田部
文化センター,越前市高瀬２丁目3-3,1階,"車椅子,オムツ交換台",35.899549,136.1601,西
いまだて芸術館,越前市粟田部町11－１－１,1階,車椅子,35.918724,136.247273,粟田部
ふるさとギャラリー叔羅,越前市東千福町17-17,1階,"車椅子,オムツ交換台",35.889033,136.15878,南
武生公会堂記念館,越前市蓬莱町8-8,1階,"車椅子,オムツ交換台",35.901768,136.168316,東
斎場,越前市春日野町１０５－１１,1階,"車椅子,オムツ交換台",35.860212,136.140728,王子保
第２清掃センター　,越前市勾当原町86-28,3階,車椅子,35.871844,136.08182,坂口