https://schema.org/name,https://code4fukui.github.io/rdf/#grade,https://code4fukui.github.io/rdf/#headcount
武生東小学校,１年生,36
武生東小学校,２年生,26
武生東小学校,３年生,34
武生東小学校,４年生,25
武生東小学校,５年生,36
武生東小学校,６年生,44
武生西小学校,１年生,59
武生西小学校,２年生,48
武生西小学校,３年生,49
武生西小学校,４年生,56
武生西小学校,５年生,70
武生西小学校,６年生,63
武生南小学校,１年生,83
武生南小学校,２年生,96
武生南小学校,３年生,91
武生南小学校,４年生,76
武生南小学校,５年生,85
武生南小学校,６年生,86
神山小学校,１年生,30
神山小学校,２年生,39
神山小学校,３年生,25
神山小学校,４年生,38
神山小学校,５年生,29
神山小学校,６年生,37
吉野小学校,１年生,80
吉野小学校,２年生,73
吉野小学校,３年生,72
吉野小学校,４年生,70
吉野小学校,５年生,82
吉野小学校,６年生,68
国高小学校,１年生,106
国高小学校,２年生,117
国高小学校,３年生,98
国高小学校,４年生,115
国高小学校,５年生,118
国高小学校,６年生,118
大虫小学校,１年生,41
大虫小学校,２年生,44
大虫小学校,３年生,53
大虫小学校,４年生,65
大虫小学校,５年生,47
大虫小学校,６年生,61
坂口小学校,１年生,2
坂口小学校,２年生,5
坂口小学校,３年生,5
坂口小学校,４年生,3
坂口小学校,５年生,3
坂口小学校,６年生,6
王子保小学校,１年生,33
王子保小学校,２年生,54
王子保小学校,３年生,48
王子保小学校,４年生,50
王子保小学校,５年生,45
王子保小学校,６年生,53
北日野小学校,１年生,32
北日野小学校,２年生,24
北日野小学校,３年生,37
北日野小学校,４年生,35
北日野小学校,５年生,40
北日野小学校,６年生,36
北新庄小学校,１年生,22
北新庄小学校,２年生,24
北新庄小学校,３年生,35
北新庄小学校,４年生,30
北新庄小学校,５年生,24
北新庄小学校,６年生,27
味真野小学校,１年生,54
味真野小学校,２年生,40
味真野小学校,３年生,36
味真野小学校,４年生,36
味真野小学校,５年生,49
味真野小学校,６年生,39
白山小学校,１年生,10
白山小学校,２年生,5
白山小学校,３年生,12
白山小学校,４年生,10
白山小学校,５年生,7
白山小学校,６年生,13
南中山小学校,１年生,20
南中山小学校,２年生,19
南中山小学校,３年生,25
南中山小学校,４年生,23
南中山小学校,５年生,27
南中山小学校,６年生,27
花筐小学校,１年生,24
花筐小学校,２年生,19
花筐小学校,３年生,33
花筐小学校,４年生,23
花筐小学校,５年生,29
花筐小学校,６年生,30
服間小学校,１年生,16
服間小学校,２年生,13
服間小学校,３年生,17
服間小学校,４年生,10
服間小学校,５年生,11
服間小学校,６年生,13